t,epsilon_fraction,meanop_D_temporal_seedmean,meanop_D_temporal_seedmin,meanop_D_temporal_seedmax,meanop_R_temporal_seedmean,meanop_R_temporal_seedmin,meanop_R_temporal_seedmax,meanop_cos_temporal_seedmean,meanop_cos_temporal_seedmin,meanop_cos_temporal_seedmax,meanop_R_cross_time_radius_seedmean,meanop_R_cross_time_radius_seedmin,meanop_R_cross_time_radius_seedmax,meanop_cos_cross_time_radius_seedmean,meanop_cos_cross_time_radius_seedmin,meanop_cos_cross_time_radius_seedmax,meanop_R_same_time_radius_seedmean,meanop_R_same_time_radius_seedmin,meanop_R_same_time_radius_seedmax,meanop_cos_same_time_radius_seedmean,meanop_cos_same_time_radius_seedmin,meanop_cos_same_time_radius_seedmax,pair_R_cross_minus_same_seedmean,pair_R_cross_minus_same_seedmin,pair_R_cross_minus_same_seedmax,pair_cos_same_minus_cross_seedmean,pair_cos_same_minus_cross_seedmin,pair_cos_same_minus_cross_seedmax,native_response_norm_pair_mean_seedmean,native_response_norm_pair_mean_seedmin,native_response_norm_pair_mean_seedmax,convergence_rel_half_mean_seedmean,convergence_rel_half_mean_seedmin,convergence_rel_half_mean_seedmax,convergence_rel_double_mean_seedmean,convergence_rel_double_mean_seedmin,convergence_rel_double_mean_seedmax,stable_all_seeds,geometric_cell_all_seeds
10,0.01,0.25186005731423694,0.21403811872005463,0.3105582594871521,0.10773226122061412,0.0903097465634346,0.1409216821193695,0.9946527282396952,0.991600513458252,0.9964355826377869,0.0977901741862297,0.07914169132709503,0.11178692430257797,0.9954309662183126,0.9937710165977478,0.9970434904098511,0.013216814336677393,0.012026388198137283,0.015168234705924988,0.9999121824900309,0.9998857975006104,0.9999282956123352,-5.2590854465961456e-05,-0.00649673119187355,0.008213070221245289,-0.0015687743822733562,-0.007201254367828369,0.005522668361663818,3.127101023991903,2.9560465812683105,3.3437340259552,4.832725001809498e-05,4.13998932344839e-05,5.215485725784674e-05,0.00016262682038359344,0.00013691438653040677,0.00018086525960825384,True,False
11,0.01,0.3391911139090856,0.2267657369375229,0.47633084654808044,0.14566765477259955,0.09752295911312103,0.21512441337108612,0.9884832501411438,0.977001428604126,0.9959550499916077,0.1345519721508026,0.06531669199466705,0.22065983712673187,0.9889104167620341,0.9756796360015869,0.9979519844055176,0.02260042354464531,0.01984485797584057,0.02767547219991684,0.9997421304384867,0.9996177554130554,0.9998119473457336,0.014460210222750902,0.0067430720664560795,0.026609297841787338,0.010339657465616861,0.0028058290481567383,0.022721171379089355,3.1328691641489663,2.962573766708374,3.290595054626465,5.011530204986533e-05,4.1274732211604714e-05,5.7144810853060335e-05,0.0001707129073717321,0.00013536658661905676,0.00020445720292627811,True,False
12,0.01,0.3718265891075134,0.2714444398880005,0.5024656057357788,0.16375301281611124,0.11705832183361053,0.2361455261707306,0.9882636666297913,0.9779611229896545,0.9940589070320129,0.13599777718385062,0.10330046713352203,0.17558324337005615,0.9909765521685282,0.985863983631134,0.9948837161064148,0.021631684775153797,0.019527997821569443,0.023113885894417763,0.9997750520706177,0.9997451305389404,0.9998146295547485,0.01790759712457657,-0.0021888017654418945,0.027966897934675217,0.011454145113627115,-0.00205075740814209,0.01897817850112915,3.0349389712015786,2.9616336822509766,3.181483268737793,4.850237746722996e-05,4.221960625727661e-05,5.313975998433307e-05,0.00016237173501091698,0.00014008958532940596,0.0001848222891567275,True,False
0,0.03,0.7175265947977701,0.5829809308052063,0.8080227375030518,0.27294249335924786,0.22869068384170532,0.3186081647872925,0.9855794509251913,0.9815981388092041,0.988551676273346,0.2523169418176015,0.17918559908866882,0.30011022090911865,0.9746103286743164,0.9649509787559509,0.9882765412330627,0.014077559113502502,0.009962928481400013,0.020406175404787064,0.9999073346455892,0.9998383522033691,0.9999510645866394,0.061618453512589134,0.04782405123114586,0.06894200295209885,0.04685999949773153,0.038355469703674316,0.0530509352684021,3.445385217666626,3.228109359741211,3.646270751953125,0.0003498856191678594,0.0002834007318597287,0.0003846398612949997,0.0013928874007736642,0.0011274222051724792,0.0015327832661569118,True,False
1,0.03,0.32965725163618725,0.18914853036403656,0.5321003198623657,0.13535040616989136,0.07862450182437897,0.22401322424411774,0.9910958607991537,0.9799137711524963,0.9978020787239075,0.16721984247366586,0.1283835470676422,0.2338188886642456,0.9873469074567159,0.9739369750022888,0.9948955774307251,0.01740788792570432,0.014806175604462624,0.022418726235628128,0.9998462001482645,0.9997592568397522,0.999891459941864,0.014543387728432814,-0.0158463716506958,0.05048837885260582,0.005971014499664307,-0.019788503646850586,0.03519028425216675,3.1701675256093345,2.99471378326416,3.315441370010376,0.00033744681665363413,0.00028094835579395294,0.0003680594963952899,0.0013433267595246434,0.001117885229177773,0.0014638504944741726,True,False
2,0.03,0.28860734899838764,0.23205605149269104,0.3902507424354553,0.12173141539096832,0.09149064868688583,0.1713266223669052,0.9920849998792013,0.9855396151542664,0.9958691596984863,0.10590925564368565,0.07268386334180832,0.14220602810382843,0.9939965009689331,0.9898918867111206,0.9973851442337036,0.017580081708729267,0.013100451789796352,0.0226055309176445,0.9998393853505453,0.9997451901435852,0.999916672706604,0.036491766571998596,0.03026312217116356,0.04057032987475395,0.02564104398091634,0.019680798053741455,0.030675292015075684,3.1225548585255942,2.94657301902771,3.26811146736145,0.00035689874008918804,0.0002785188553389162,0.0004198325041215867,0.0014202083693817258,0.0011075413785874844,0.0016690765041857958,True,False
3,0.03,0.2735085040330887,0.21107663214206696,0.35369673371315,0.11629502475261688,0.088973268866539,0.15887433290481567,0.9930022160212199,0.9878594279289246,0.9960848689079285,0.11980314801136653,0.07648349553346634,0.18007200956344604,0.9918923179308573,0.9838098287582397,0.9970878958702087,0.018234194566806156,0.015202969312667847,0.020790504291653633,0.999833325544993,0.9997895956039429,0.9998849630355835,0.04457549750804901,0.02374267578125,0.08471131324768066,0.031478544076283775,0.014281809329986572,0.061248779296875,3.0816171964009604,2.9604952335357666,3.2532894611358643,0.0003494409708461414,0.00029026958509348333,0.00038025237154215574,0.0013905504407982032,0.0011542015708982944,0.0015153768472373486,True,False
4,0.03,0.26602241893609363,0.19984059035778046,0.3341493010520935,0.1117312361796697,0.08433692902326584,0.14724156260490417,0.9934409459431967,0.9892256855964661,0.9964561462402344,0.11737487713495891,0.07716567814350128,0.16291262209415436,0.9928094943364462,0.9872304201126099,0.9970236420631409,0.016464886566003162,0.010866918601095676,0.024676183238625526,0.9998536507288615,0.9997097849845886,0.9999454021453857,0.03654889203608036,0.010642478242516518,0.061692975461483,0.02482205629348755,0.008275151252746582,0.044105589389801025,3.144062121709188,2.9494845867156982,3.3105907440185547,0.0003666508127935231,0.00028906684019602835,0.00042705790838226676,0.0014587227487936616,0.001149310264736414,0.0016974647296592593,True,False
5,0.03,0.2701573719580968,0.16470123827457428,0.37544524669647217,0.11556394894917806,0.06974049657583237,0.17108578979969025,0.9931269884109497,0.9873842597007751,0.9975897669792175,0.11098100244998932,0.06423548609018326,0.1660696566104889,0.9933001597722372,0.9868316054344177,0.9979402422904968,0.016714791456858318,0.016377536579966545,0.01694008708000183,0.999862273534139,0.9998566508293152,0.9998694658279419,0.03796792030334473,0.024479364976286888,0.06269730627536774,0.027635037899017334,0.016246020793914795,0.046693503856658936,3.1048452854156494,2.961669683456421,3.3439888954162598,0.00036409933818504214,0.0002967068285215646,0.000399274576921016,0.0014487392036244273,0.0011794234160333872,0.0015908454079180956,True,False
6,0.03,0.2421537091334661,0.1430206447839737,0.3141959309577942,0.10173398753007253,0.060761429369449615,0.13631382584571838,0.9947697520256042,0.9909687042236328,0.9983091950416565,0.12731026113033295,0.0683116763830185,0.2038334757089615,0.9913729230562845,0.9823215007781982,0.9976707696914673,0.013725836761295795,0.012433820404112339,0.015093390829861164,0.9999077916145325,0.9998902082443237,0.9999228119850159,0.020023052270213764,0.008340427652001381,0.04267635568976402,0.01411221424738566,0.003430187702178955,0.03413891792297363,3.130537509918213,2.951103687286377,3.2320337295532227,0.0003636711335275322,0.0002977296244353056,0.0004144724225625396,0.0014467115979641676,0.0011835142504423857,0.001647107768803835,True,False
7,0.03,0.2660523404677709,0.14715217053890228,0.39048638939857483,0.1147037148475647,0.06270724534988403,0.17718932032585144,0.9930063287417094,0.9848491549491882,0.9981645941734314,0.10458906988302867,0.0517166405916214,0.16979250311851501,0.9934941331545512,0.9859218597412109,0.998731255531311,0.02029489042858283,0.018864409998059273,0.022979754954576492,0.9997956355412801,0.9997366666793823,0.9998253583908081,0.010284501283119122,-0.004258297849446535,0.027152791619300842,0.004960318406422933,-0.004001200199127197,0.014910995960235596,3.086820920308431,2.961808919906616,3.2139782905578613,0.000368709210306406,0.0003006868064403534,0.00042066798778250813,0.0014667845098301768,0.0011951933847740293,0.0016721478896215558,True,False
8,0.03,0.2599743405977885,0.14229825139045715,0.3588967025279999,0.11003042384982109,0.06078115478157997,0.15721456706523895,0.9937885999679565,0.9884941577911377,0.9985938668251038,0.11083263407150905,0.06627494841814041,0.1704874336719513,0.9937795599301656,0.9879903793334961,0.9978582859039307,0.019160039412478607,0.01521103922277689,0.02231386862695217,0.9998252789179484,0.9997590184211731,0.9998857975006104,0.023891232907772064,0.015925470739603043,0.0333443358540535,0.017370839913686115,0.011384129524230957,0.02613586187362671,3.1253130435943604,2.9525201320648193,3.2161176204681396,0.00036288221599534154,0.0003025731712114066,0.00041764695197343826,0.0014435103706394632,0.0012028170749545097,0.0016594582702964544,True,False
9,0.03,0.26667075355847675,0.15238699316978455,0.3809542953968048,0.11418806264797847,0.06535623967647552,0.1717156320810318,0.9928414225578308,0.9858620166778564,0.9981528520584106,0.09906687587499619,0.07297512143850327,0.13283461332321167,0.9949056307474772,0.9914143085479736,0.9974056482315063,0.023161569299797218,0.01416828390210867,0.030106788501143456,0.9997265140215555,0.9995943307876587,0.999901533126831,0.02487463690340519,0.011020617559552193,0.04773338884115219,0.01849450667699178,0.007411003112792969,0.03595244884490967,3.1318199634552,2.9614944458007812,3.2978875637054443,0.0003854414486947159,0.00030272084404714406,0.00046346866292878985,0.0015331505953023832,0.0012034073006361723,0.0018415625672787428,True,False
10,0.03,0.2517925997575124,0.213986337184906,0.31049734354019165,0.10771130522092183,0.0902816653251648,0.14090342819690704,0.9946551124254862,0.9916037917137146,0.9964368939399719,0.0977680856982867,0.07912109792232513,0.1117689460515976,0.9954329331715902,0.9937730431556702,0.9970449805259705,0.013211676850914955,0.01202366966754198,0.015161105431616306,0.9999122619628906,0.9998859167098999,0.99992835521698,-5.1087544610102974e-05,-0.00649693189188838,0.00822259858250618,-0.0015671253204345703,-0.00720059871673584,0.005529463291168213,3.1264243125915527,2.9555253982543945,3.342966079711914,0.00036745931720361114,0.00031093740835785866,0.00040643682586960495,0.001461638215308388,0.001235859701409936,0.0016148622380569577,True,False
11,0.03,0.3390890558560689,0.22668638825416565,0.4762090742588043,0.14563355346520743,0.09749481081962585,0.21508310735225677,0.9884885350863138,0.9770107865333557,0.995957612991333,0.13452760875225067,0.06530103832483292,0.220624640583992,0.9889142314592997,0.9756874442100525,0.9979528784751892,0.02259325049817562,0.01983724720776081,0.027666112408041954,0.9997423887252808,0.9996181130409241,0.9998121857643127,0.01446826026464502,0.006750504020601511,0.02662450447678566,0.010343770186106363,0.002812981605529785,0.02272707223892212,3.132192293802897,2.9620563983917236,3.289881944656372,0.00038558706485976774,0.00030757178319618106,0.0004594778874889016,0.0015337609608347218,0.0012225423706695437,0.0018261021468788385,True,False
12,0.03,0.3717186550299327,0.2713753879070282,0.5023248195648193,0.1637166142463684,0.11703614890575409,0.2360946536064148,0.9882695078849792,0.9779723286628723,0.9940613508224487,0.13596579680840173,0.1032784953713417,0.1755456179380417,0.9909811615943909,0.9858711957931519,0.9948857426643372,0.021623165036241215,0.019518036395311356,0.023103933781385422,0.999775250752767,0.9997453093528748,0.9998148679733276,0.017906223734219868,-0.0021859854459762573,0.027961477637290955,0.011450688044230143,-0.0020490288734436035,0.018973350524902344,3.0343008041381836,2.960928201675415,3.180816411972046,0.00036698543893483776,0.0003184237575624138,0.0004152384935878217,0.0014597245026379824,0.001265399158000946,0.0016499683260917664,True,False
0,0.1,0.7154060403505961,0.5817115902900696,0.8054674863815308,0.2723989139000575,0.22838501632213593,0.3178948760032654,0.985650916894277,0.9817127585411072,0.9885796308517456,0.2517516016960144,0.1787431240081787,0.29929742217063904,0.9747129281361898,0.9651156067848206,0.9883312582969666,0.014014842920005322,0.009925143793225288,0.020319275557994843,0.9999081492424011,0.9998396039009094,0.9999514818191528,0.061721195777257286,0.04795679450035095,0.0690041109919548,0.04678314924240112,0.038265764713287354,0.05296880006790161,3.437292496363322,3.222029447555542,3.636629343032837,0.0038493397490431867,0.003121005604043603,0.00423239404335618,0.014857603547473749,0.012173115275800228,0.0162531528621912,True,False
1,0.1,0.32887938618659973,0.18862423300743103,0.5308740735054016,0.1351327250401179,0.07846255600452423,0.2236579954624176,0.9911306103070577,0.9799925684928894,0.9978142976760864,0.16686342159907022,0.12808683514595032,0.23345503211021423,0.9873943130175272,0.9740130305290222,0.9949254393577576,0.017339407776792843,0.014754659496247768,0.022343864664435387,0.99984739224116,0.9997610449790955,0.9998921155929565,0.014491092724104723,-0.01591332256793976,0.05047018453478813,0.005913257598876953,-0.019797861576080322,0.03506636619567871,3.163337230682373,2.9893674850463867,3.307499408721924,0.003712885702649752,0.0030937185510993004,0.004043574444949627,0.014350412413477898,0.012055069208145142,0.01557244174182415,True,False
2,0.1,0.28768910467624664,0.23134487867355347,0.38901546597480774,0.12143176048994064,0.09128522872924805,0.17089837789535522,0.9921259681383768,0.9856172800064087,0.995887041091919,0.10565056403477986,0.07257567346096039,0.14178478717803955,0.994027316570282,0.9899511933326721,0.997393012046814,0.017507971885303657,0.013051704503595829,0.022481361404061317,0.9998406569163004,0.9997477531433105,0.9999171495437622,0.03644285102685293,0.030167803168296814,0.04053892195224762,0.025549511114756267,0.01956874132156372,0.030582964420318604,3.1155459880828857,2.9413352012634277,3.260073661804199,0.003924218084042271,0.003065278986468911,0.004607276991009712,0.015140144775311152,0.011948900297284126,0.01767692156136036,True,False
3,0.1,0.27282343804836273,0.21055884659290314,0.3527565598487854,0.11608621726433437,0.08881831914186478,0.15855246782302856,0.9930271506309509,0.9879060983657837,0.9960986375808716,0.11953225980202357,0.07631140202283859,0.17964965105056763,0.9919289350509644,0.9838852882385254,0.997100830078125,0.01813770489146312,0.015135749243199825,0.02065017819404602,0.999835193157196,0.9997926950454712,0.9998858571052551,0.044556366900602974,0.023701271042227745,0.08470836281776428,0.031397064526875816,0.014221489429473877,0.06111842393875122,3.074748913447062,2.955033540725708,3.245100975036621,0.0038435347378253937,0.0031929435208439827,0.0041868556290864944,0.014850750875969728,0.012418176047503948,0.016122236847877502,True,False
4,0.1,0.2651125341653824,0.19910769164562225,0.3332420289516449,0.11143580575784047,0.08408953249454498,0.1469428837299347,0.9934747815132141,0.989271342754364,0.9964766502380371,0.11707522223393123,0.07697131484746933,0.16250444948673248,0.9928479790687561,0.9872972965240479,0.9970386624336243,0.01640459739913543,0.010816235095262527,0.024586310610175133,0.999854584534963,0.9997116327285767,0.999945878982544,0.03660316330691179,0.010690214112401009,0.061854287981987,0.02480671803156535,0.008289039134979248,0.04412102699279785,3.136796236038208,2.9440836906433105,3.3023014068603516,0.004029717839633425,0.003179889405146241,0.004685379099100828,0.01552586474766334,0.012374079786241055,0.01796155795454979,True,False
5,0.1,0.2694570968548457,0.16425342857837677,0.37466421723365784,0.11535124977429707,0.06960073113441467,0.1708352416753769,0.9931488037109375,0.9874138236045837,0.9975994825363159,0.11073252807060878,0.06410432606935501,0.16572202742099762,0.9933284322420756,0.9868812561035156,0.9979487061500549,0.016634949172536533,0.016306351870298386,0.016814304515719414,0.9998634854952494,0.9998587369918823,0.9998703598976135,0.037948716431856155,0.024442855268716812,0.06264359503984451,0.027578274408976238,0.016187965869903564,0.04658663272857666,3.0976582368214927,2.9560816287994385,3.3352062702178955,0.004003292492901285,0.0032621559221297503,0.004393913317471743,0.015445464290678501,0.012674414552748203,0.016889607533812523,True,False
6,0.1,0.2413515398899714,0.14250661432743073,0.31311771273612976,0.10147641971707344,0.06058685854077339,0.13595615327358246,0.9947956204414368,0.9910147190093994,0.9983190894126892,0.12703092892964682,0.06809311360120773,0.20347186923027039,0.9914061625798544,0.9823793768882751,0.9976856708526611,0.01365804672241211,0.01239092368632555,0.014988179318606853,0.9999086062113444,0.9998915791511536,0.9999233484268188,0.020045530050992966,0.008310004137456417,0.04284799098968506,0.014092723528544107,0.003397524356842041,0.03417384624481201,3.123138427734375,2.9455268383026123,3.2239797115325928,0.0039978004060685635,0.003273750189691782,0.004548973869532347,0.015419471077620983,0.012721939943730831,0.017469311133027077,True,False
7,0.1,0.2652587691942851,0.14659827947616577,0.3895082175731659,0.1144444818298022,0.06251551955938339,0.17685432732105255,0.9930372436841329,0.9849072694778442,0.9981763958930969,0.10427821303407352,0.05153096094727516,0.16925974190235138,0.9935325384140015,0.9860079884529114,0.9987401962280273,0.02022555408378442,0.01879999227821827,0.022894883528351784,0.9997970660527548,0.9997384548187256,0.9998267292976379,0.010287679421404997,-0.004225733689963818,0.027130719274282455,0.004953861236572266,-0.003951847553253174,0.014854609966278076,3.079554478327433,2.9561266899108887,3.205807685852051,0.004052406099314491,0.0033058396074920893,0.004618050996214151,0.015618443489074707,0.012842169031500816,0.017749756574630737,True,False
8,0.1,0.25888444979985553,0.141810804605484,0.3569582402706146,0.10965751732389133,0.06061635538935661,0.1565043181180954,0.9938309788703918,0.9885839819908142,0.9986032843589783,0.11046695212523143,0.06605404615402222,0.1697816699743271,0.993818203608195,0.9880750179290771,0.9978722929954529,0.019086416500310104,0.015152732841670513,0.022237712517380714,0.9998265902201334,0.9997606873512268,0.9998868107795715,0.023876731594403584,0.01590852439403534,0.03329148516058922,0.017319480578104656,0.011347293853759766,0.026025831699371338,3.1176750659942627,2.946805000305176,3.206892728805542,0.003988975503792365,0.0033269072882831097,0.004582289606332779,0.015378965375324091,0.012923629023134708,0.017569079995155334,True,False
9,0.1,0.26593410472075146,0.15170066058635712,0.38021954894065857,0.11396380762259166,0.06510704755783081,0.17150861024856567,0.9928658405939738,0.9858952164649963,0.9981691241264343,0.09886363397041957,0.07276609539985657,0.13264715671539307,0.9949243863423666,0.9914377331733704,0.997420072555542,0.023078811665376026,0.014090819284319878,0.029982538893818855,0.9997284412384033,0.9995978474617004,0.9999026656150818,0.024985304723183315,0.011140793561935425,0.047910794615745544,0.018509189287821453,0.0074607133865356445,0.03595501184463501,3.1240292390187583,2.9557409286499023,3.2891969680786133,0.0042339965390662355,0.0033286777324974537,0.005079190246760845,0.016276674655576546,0.01293222140520811,0.01938265562057495,True,False
10,0.1,0.2510289251804352,0.21339771151542664,0.30981558561325073,0.10747431466976802,0.08996378630399704,0.14069679379463196,0.9946832855542501,0.9916418790817261,0.996454656124115,0.09751807649930318,0.0788884088397026,0.11156564205884933,0.9954559803009033,0.9937964677810669,0.9970625042915344,0.013154420380791029,0.011992774903774261,0.015082556754350662,0.9999129970868429,0.9998870491981506,0.9999286532402039,-3.441702574491501e-05,-0.006499121896922588,0.00832944642752409,-0.0015492836634318035,-0.007193207740783691,0.005605459213256836,3.1187757651011148,2.949580669403076,3.334221601486206,0.00403862982057035,0.0034177761990576982,0.004458801820874214,0.015566636497775713,0.013262644410133362,0.017108969390392303,True,False
